GeneID	X2nd.thoracic.ganglia	abdomen	abdominal.integument	antennae	antennal.lobes	antennal.lobes.and.subaesophageal.ganglion	brain	egg	embryo	eviscerated.abdomen.and.fat.body	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.ovaries	fat.body	flight.muscle.and.thoracic.exoskeleton	germline	gut	head	head.and.thorax	hemolymph	hindgut	hypopharyngeal.glands	larvae	larval.gut	larval.head	male.gonad	malpighian.tubules	mandibular.glands	midgut	muscle	mushroom.body	nasonov.gland	oocyte	optic.lobes	ovaries	pupae	pylori	thorax	rectum	royal.jelly	semen	spermetheca	sting.gland	testis	thoracic.muscle	thorax.and.abdomen	unknown	venom.gland	ventriculus	virus.augmented.bee.lysate	whole.adult.body	wing.disc	wings	wings.and.thoracic.dorsum	worker.jelly
QIUM02000179.1	0	1.33217688774452e-07	2.85438120682193e-07	4.14418403605121e-07	0	3.27211577633189e-08	9.29307620806912e-06	4.46935668572508e-07	2.62016792304532e-08	7.10766534278024e-08	0	0	3.13225729785945e-07	0	5.62341809841532e-06	3.15747095305652e-07	4.21416790462922e-05	4.21308707886702e-07	0	0.000246246880770254	2.21484383444237e-07	0.000119426887434463	0	0	0	1.58897385402278e-06	0	3.02183897015876e-07	2.12443547909587e-07	2.12075513563667e-06	0	0	0	0.000309821525061472	3.97358721618585e-07	0	1.48873787130018e-06	0	0	0.000146997232741774	5.83298039541248e-05	0	0	5.19147402387504e-07	5.77730891432338e-07	0.000258996076290882	0	2.54759373861871e-06	0	1.46147912711271e-05	1.05335924289041e-07	0	0	0
CM009939.2	0.00153823672114134	0.000576200101433512	0.00218892986785239	0.00158354138215826	0.00109478202065753	0.00049379281239757	0.0015510498624726	0.000928181656008475	0.00120481973181628	0.000578437441539019	0.000491248573068854	0.000604812785524923	0.000641792995736676	0.000474237522132797	0.000966498280469196	0.000571666156859265	0.000745797851775927	0.00099257580466244	0.00113555502320037	0.000581425737922798	0.000292547727116072	0.000951329054635372	0.000441034523893053	0.000393392581092169	0.00267345588681678	0.00350639558878035	0.000853532106161276	0.00103039991181567	0.00104112140983229	0.00160279415928064	0.00116175339238782	0.00228029375343245	0.000478984784551459	0.00114756453547857	0.000683665743573314	0.00159212001725791	0.000811353559349675	0.000650648842146239	0.000183107892806248	0.000397092061551704	0.000501610810605078	0.00065691904453255	0.00197634029718446	0.00109507957572421	0.000467913271688155	0.00121778509648717	0.000463142770629502	0.00369903299238528	5.4683083509551e-06	0.000407051210061172	0.000950392022936833	2.98414410878562e-07	0.00128732823394441	1.5505433346323e-07
QIUM02000088.1	0.000116850061792231	5.1039540390776e-05	1.19068894004271e-05	9.26567592586364e-05	0.000139725405303385	3.19303545343268e-05	0.000163124846140021	9.48159116216659e-05	2.62949635711735e-05	1.58721144179381e-05	7.8806750470811e-06	1.42891982407041e-05	4.97177923756927e-05	3.480628194911e-06	1.93379046678551e-05	3.83784528275605e-05	3.75401308632073e-05	2.87227489584407e-05	3.43903989389163e-05	4.71237622859733e-05	6.26721167176829e-06	0.000129009959836227	2.88102235759219e-06	1.11649232443701e-05	9.79274522286348e-06	0.000167538465491301	2.59253682458938e-05	0.000122951141910838	1.74415838713659e-05	0.000185876421300449	3.4651421383679e-05	2.15123480041216e-05	3.46151946824311e-05	5.30541568448162e-05	6.34588800444728e-05	0.000104327503114063	3.22593340541284e-05	4.08959560577671e-05	1.14782813599464e-06	7.22276791745527e-05	5.32199278681177e-05	3.24172867600752e-05	5.47670963266092e-05	4.56809527243234e-05	5.47091175918861e-06	0.000257265687663002	1.94346824718117e-05	0.000198561026942064	0	2.03226116427783e-05	2.38245143812446e-05	0	8.53088734208747e-06	0
QIUM02000089.1	9.9026217979188e-08	4.89509674368744e-08	0	6.04657477621754e-07	2.15022662337336e-07	1.48839780416825e-07	8.40532652975205e-07	4.38382313478096e-07	1.5077556971651e-07	1.6730547021038e-07	2.73814314789249e-08	0	6.4790046509354e-08	5.94127093464616e-08	0	2.16392595855064e-08	1.55060712539807e-06	0	0	5.1902672587555e-07	2.79880840056332e-08	1.77705796355178e-05	0	0	0	5.69412015062379e-07	1.49585977109505e-07	1.14022378179686e-07	5.94311667636187e-08	6.83573416207352e-08	0	0	3.04838568168272e-07	1.40281785472006e-06	3.90048310341264e-07	2.44257077154263e-08	9.15379682190599e-07	5.73602754497946e-08	0	2.98633565150003e-05	1.12371385082547e-05	0	0	0	0	8.75170499039387e-05	1.42510168991526e-07	5.19969512010511e-13	0	5.07249451008379e-07	8.91537997108378e-08	0	7.82492191207974e-08	0
QIUM02000092.1	4.16706189738535e-06	1.26841166929021e-06	1.19240095060599e-07	1.32504351539207e-05	3.65918299373239e-06	1.90674236283567e-06	6.10700442197258e-06	1.51940982452218e-05	3.44538098596692e-06	8.48034646128212e-07	2.46531192509386e-07	1.19638828212099e-06	1.05539625940913e-06	2.35940928154692e-07	3.19872950086562e-07	5.56234603184192e-07	7.50784214482617e-06	8.25596755916241e-07	5.97269596452101e-07	5.86083195643038e-06	3.82527970598993e-07	2.49908998786056e-05	0	2.09524118651436e-07	1.23564540809734e-06	3.93930036077479e-06	6.25054676660003e-07	1.58826078946951e-06	5.56265496771183e-07	3.31753538067833e-06	6.84079922160277e-07	1.10848675331461e-06	1.85086448747531e-06	7.69234136402488e-06	1.33159065323119e-06	5.27645981136693e-07	1.73468219655021e-06	5.04389248148909e-07	1.37342029447728e-07	6.87927294338644e-05	4.5866372253848e-05	8.7101091804604e-07	1.34362522110172e-06	5.5260637460042e-07	4.20629774716162e-07	8.90862571432478e-05	2.54269534041717e-07	3.1897389771202e-06	0	3.82944505076231e-06	5.03387542716368e-07	0	1.3577965721886e-07	0
QIUM02000099.1	0	0	0	7.59793561514177e-07	0	0	3.70049093106499e-08	4.23190652203241e-07	1.26014477228839e-08	0	0	0	6.1294847298386e-09	0	2.11453264736329e-07	0	5.72716043391599e-07	0	0	2.73375753288527e-07	4.25614350154137e-08	1.2619226059126e-06	0	0	0	0	0	0	0	5.83122599471277e-10	0	0	0	9.49173196011546e-07	0	0	1.11548178341052e-07	0	0	1.44346990902783e-05	4.66462722004063e-06	0	0	0	0	0.000116256709744587	0	0	0	3.06890394883038e-07	0	0	1.05608001190575e-08	0
QIUM02000102.1	9.44965881600035e-06	3.18405474619612e-06	3.44903016925435e-06	2.52341745453051e-05	1.20148502754231e-06	5.78244417680089e-06	2.70943717157514e-05	1.50176313116118e-05	8.18605910050123e-06	5.10769824937393e-06	3.54388934876101e-06	5.27575375726933e-06	4.17115520046365e-06	3.17328465344238e-06	0	1.01822557806554e-06	5.03911955115994e-06	1.56380115688357e-06	1.39939520056011e-05	1.26871816303302e-05	5.56101567630359e-07	2.28092706688654e-05	7.08470914750055e-07	6.4147616107337e-07	1.14873088794039e-05	1.15717635777139e-05	2.48064742901693e-06	1.5748041334275e-05	2.07406932236274e-06	2.27919911126275e-05	2.37907823087433e-06	4.05416446545328e-06	5.76236299098094e-06	1.27744471689245e-05	1.9889760772106e-05	1.44592595533022e-05	2.6653733338108e-06	8.28009636508899e-07	6.53866706578597e-07	4.48335693929623e-05	3.23640762871022e-05	9.04298155370715e-07	1.01691957434287e-06	6.45238920170805e-07	2.1934260159073e-06	9.66055095537658e-05	1.77013851813948e-06	4.08394915692681e-06	0	4.30534522003418e-06	3.08941797429498e-06	0	1.91035607377764e-06	0
QIUM02000111.1	3.68983671062908e-07	4.70632374560224e-07	0	1.33044952278982e-06	9.87179204443934e-07	2.70831934251272e-07	8.02423248035274e-07	9.31011879757833e-07	7.46031106927898e-07	2.45038274375781e-07	8.75579617826373e-08	4.63466829140852e-08	3.4043292177723e-07	3.21996091910623e-07	1.89946481342203e-06	3.00269313130776e-07	1.04944325779323e-05	9.27992814774893e-08	2.76437908851239e-07	4.0904647045329e-06	6.56048331021198e-07	2.84023909915991e-05	0	6.95121458269785e-08	1.88597888397743e-06	3.38645697401256e-06	4.37213827128266e-07	6.0953314492377e-07	0	1.02380461266906e-06	0	1.09973870196222e-06	1.90567042899655e-07	1.19129597316241e-05	3.76001610286298e-05	1.1026307921374e-06	1.35006232574093e-07	3.46481007237638e-07	1.91145245208347e-07	4.242976314409e-05	2.87943328245572e-05	3.00613438152628e-07	9.20756742433874e-07	1.10666073428091e-07	2.10200680044744e-07	8.81301705079775e-05	2.34647793616621e-06	9.44177181348315e-06	0	5.35457999848207e-06	2.31595031401215e-07	0	4.12804541265369e-07	0
QIUM02000114.1	0	8.6686656138286e-08	6.49207397524318e-08	1.00886778252995e-06	0	1.56720364978916e-08	1.06774518021421e-07	5.51145721671629e-07	2.97413777720417e-07	8.03887949907833e-08	0	0	1.32186108766532e-07	0	8.79491238746204e-07	5.45748946904349e-08	1.65202941977782e-06	0	0	1.36744880006365e-06	8.44328652139176e-09	1.70595671629883e-05	0	0	0	6.02291173894851e-07	3.08399470888394e-08	5.66513748692244e-08	0	3.03573644738625e-08	0	0	1.66518647431875e-08	1.54718148483499e-06	2.32527877284004e-08	2.192646631037e-08	1.39326517069248e-06	0	0	2.28098202163716e-05	1.8045748591652e-05	0	0	0	2.66076033331479e-07	4.44633551573234e-05	0	8.80661641003776e-07	0	1.00250989040977e-06	2.78055140178482e-07	0	2.241770599056e-08	0
QIUM02000137.1	9.21408517771931e-07	5.82975554665663e-07	7.22070017074583e-07	3.28521172575464e-06	4.34363528352949e-07	9.82832379698836e-07	1.66730739561303e-06	9.1479172799199e-06	2.27834447464057e-06	3.56498738187e-06	5.94090161650565e-07	5.7634976504834e-07	1.27918813624367e-06	2.34529059305741e-07	0	2.99997082971656e-07	1.12475310821668e-05	5.71117443487766e-07	4.11152105346173e-07	8.58318769051096e-06	2.57837708856952e-07	5.88031196836032e-05	0	8.80182320690765e-08	1.68215682210888e-06	3.0696546359073e-06	5.0591680040147e-07	1.20372591664029e-06	1.17249982533865e-07	1.73172703848836e-06	1.17227957225506e-07	0	1.18230605896507e-06	1.45952735582407e-05	1.81574931530108e-06	1.29469973131148e-06	1.5926578748567e-06	3.54527772445594e-07	1.75500138405345e-07	8.43711911725447e-05	5.52525041647819e-05	0	8.54964107276149e-07	9.4557864620694e-08	3.28294276427031e-07	6.74861160479505e-05	7.21352183264407e-07	4.46211961146317e-06	0	3.41923626090595e-06	6.93213946638137e-07	0	1.3665097236493e-07	0
