GeneID	abdomen	whole.larva	brain	whole.body.larvae	midgut	eviscerated.abdomen.and.fat.body	flight.muscle.and.thoracic.exoskeleton	whole.body	fat.body	venom.gland	antennae	hypopharyngeal.glands	testicles	ovaries	mandibular.glands	malpighian.tubules	muscle	nasonov.gland	sting.gland	second.thoracic.ganglia	intestine	whole.embryos	gut	thorax	head	gonadal	virus.augmented.bee.lysate	antennal.lobes	mushroom.body	wings.and.thoracic.dorsum	wing.disc	venom.system	hindgut	testis	whole.larvae	embryo	embryos	oocyte	antennal.lobes.and.subaesophageal.ganglion	optic.lobes	eviscerated.abdomen.with.attached.fat.bodies	not.applicable	thoracic.muscle	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.active.ovaries	head.and.thorax	unknown	pylori	thorax.and.abdomen	larval.gut	queen.germline	drone.germline	drone.thorax	worker.embryo	drone.embryo	whole.pupae	larval.head	hemolymph	abdominal.integument	rectum	spermetheca_virgin	semen	spermethecia_mated	egg
QIUM02000075.1	5.51195708058476e-06	8.93471285717241e-06	3.50900562794894e-05	3.1644249436723e-06	8.15109566737884e-06	3.67659823698094e-06	2.75863795303368e-06	8.7536959166737e-06	7.42258350691807e-06	3.76910490393597e-06	9.76445267844326e-06	1.81625853454841e-06	2.94049272200438e-06	1.74980123955393e-05	9.35906470858613e-06	1.54911000775562e-05	1.16949988568221e-05	5.91250532559131e-06	8.24112231361396e-06	3.52966615281575e-05	2.99559761715235e-06	2.07781560471555e-05	3.62035846376983e-06	1.39872103712079e-05	1.46803465157515e-05	3.61106434046172e-06	0	1.35968484065775e-05	1.78558187328795e-05	1.66806566080088e-06	2.43073692255301e-06	4.09759759960909e-06	2.728698993588e-05	1.98855339535122e-06	2.91881720631782e-06	8.42209096102108e-06	1.34543623944274e-05	1.70565335378364e-06	8.90911823363043e-06	6.09396377528236e-06	5.37620553927328e-06	3.24251201198805e-06	2.20859115745013e-05	1.61244031646402e-06	2.95239440583529e-06	1.1829463728187e-06	0.040739705361821	1.07553996775281e-05	3.28664083130342e-06	5.52476742202625e-07	8.65541641210669e-06	0	2.89581733371889e-07	2.3547774730452e-06	1.50101968010539e-06	6.72343083232191e-06	7.95004186966507e-07	1.03334127937978e-05	5.66297136301273e-06	3.79040132869726e-06	6.87188953230841e-06	0.000157179757296471	0.000240740617663665	2.96767545730031e-05
QIUM02000077.1	1.84310188810161e-06	8.42729820461411e-06	9.249000182551e-07	5.28661072149599e-07	6.90150952957789e-07	0	7.0613609871142e-08	1.61255730723233e-05	5.67147644733274e-07	7.02781741823572e-08	2.46763419830704e-06	6.37169124344408e-07	8.72077777344849e-06	3.77705452769111e-05	1.28395908773192e-07	2.8141626028851e-07	1.41299355203849e-07	1.55370027175149e-07	2.03018645495309e-07	1.05415207373705e-06	2.3903522944899e-07	1.33730712821199e-05	2.90208407030033e-07	1.04771795051601e-05	2.16977499200471e-05	1.68607464885792e-07	0	1.5973572359993e-06	9.54951669964476e-07	8.9517188594182e-07	2.04908261156721e-06	0	2.08858040527003e-05	2.81322518362256e-07	0	7.32475825913748e-06	4.51918783246236e-06	2.94812158650568e-07	5.66671177934452e-07	2.14112176178657e-07	2.19977962007335e-07	1.49802876370215e-07	1.94574494063639e-07	8.64977493614003e-08	3.27990760135785e-07	2.17290563300753e-07	0.0411881763678529	1.87435410423414e-08	4.26902564325215e-07	0	0	0	2.81257814164166e-07	2.36263059849409e-06	1.04122504821024e-06	3.55654240605653e-06	2.40321467141088e-07	4.69501828780929e-07	1.25083195945423e-07	1.05611150722532e-07	9.84933244740023e-06	0.00022287677714681	0.00030738308427646	3.29496733622035e-05
QIUM02000079.1	2.52196518974584e-05	4.88051348699453e-05	4.48555336132467e-05	1.76930057481144e-05	1.55146670401508e-05	1.1418827683331e-05	3.78829782750328e-06	2.41558661272812e-05	2.10365008577491e-05	9.11057828469042e-06	3.51101924453337e-05	1.1961027715991e-05	0.000135814844633819	4.41838527561511e-05	1.94053222871028e-05	5.71171420326907e-05	2.38780747355741e-05	2.80238279419335e-05	2.8353539633844e-05	3.48235165794561e-05	1.26496153160419e-05	6.7284659067145e-05	1.60592659569846e-05	2.07877751280229e-05	6.03862626835632e-05	2.55152544611533e-05	0	1.94686783452587e-05	3.50477439587112e-05	1.98746817763505e-05	2.68254342856433e-05	7.23016403376285e-06	2.81953710375342e-05	7.53295152304213e-06	3.44608532052573e-05	3.38760557573422e-05	3.05260193565551e-05	7.44989150845454e-05	1.00116972781041e-05	1.29796900992637e-05	1.45593770455904e-05	1.48080294676022e-05	1.94223965833784e-05	1.05182374375682e-05	1.68928830937479e-05	1.38284135698216e-05	0.0120459637062949	4.25181596551167e-05	1.8051937731092e-05	1.07264823444193e-05	5.07782029696094e-05	3.49553253325016e-06	5.85990237053266e-07	7.37170674955012e-06	8.94515354479577e-06	5.04070310616324e-05	7.36313541057331e-06	2.16125891267016e-05	3.10580880529114e-05	1.39678640341935e-05	9.83836345078801e-06	3.68221516131235e-05	4.79506405724015e-05	8.19591551883459e-05
QIUM02000081.1	1.99246343571849e-05	1.09117397478222e-05	4.33927653090224e-06	3.83398498850002e-06	7.92267492352586e-06	3.05024477603578e-06	1.47857602446305e-06	1.07855626897259e-05	2.53381619309795e-06	2.19510322044623e-06	0.000161342300817955	4.83845619829291e-07	6.95845838422159e-06	2.75068651858024e-05	1.69175014031869e-06	0.000229986935941921	2.04558362563601e-06	3.01741571840297e-06	1.93158096759078e-06	2.07413120617769e-06	3.10095740371558e-05	1.51827976703805e-05	6.50873700221277e-05	5.82982240738526e-06	1.31335969686941e-05	7.9201226451529e-06	0	2.36398460355959e-06	4.73940206484797e-06	8.40843600826575e-06	9.31673183795872e-07	3.36089678561156e-07	3.88529115654335e-05	1.32117722449621e-05	2.69279584459031e-06	1.43034624500367e-05	7.11574596096678e-06	1.82231303866259e-06	1.66739144650383e-06	9.28730248583958e-07	1.51329169569259e-06	1.63636568467855e-05	2.5162073489781e-06	1.59012836539625e-06	2.44001602153934e-06	6.80173860208495e-06	0.0313161531308565	0.00112524093193675	1.7253771130826e-05	5.23640744860306e-06	1.98630063279047e-05	6.44123743579003e-06	1.00904914790081e-06	5.20586732584267e-06	2.10821199197617e-06	4.19961044117016e-06	8.40755052547047e-07	1.92572782721496e-05	2.70514452465264e-05	9.25718853436681e-05	7.98510342118981e-06	0.000115529870993353	0.000167186608774647	2.02055982719948e-05
QIUM02000082.1	3.80673276059967e-06	3.63413201381716e-06	2.30985131589219e-06	5.62455096583306e-07	3.65774857389283e-06	4.97253812644592e-07	4.36404366745846e-07	4.19106466211446e-06	1.81246342052072e-06	1.1320365372069e-07	0.00018820903664857	2.51740267584714e-07	5.94786461374968e-06	6.65124753816364e-06	3.20021142873774e-07	6.73284840673206e-05	4.33543336469924e-07	1.15800488355816e-06	1.75858423279281e-07	1.37549128053576e-06	1.64009461825874e-06	7.85993022319216e-06	1.86619979022232e-06	1.72187363614011e-06	3.88930041697558e-06	3.67029924288813e-06	1.7045171271757e-07	8.28373434521218e-07	2.18122047188985e-06	5.30493679529627e-06	1.95138098631638e-06	3.55124920887289e-07	4.46246358548878e-05	5.15060148233695e-07	0	8.71437917340063e-06	8.67214672529976e-06	5.57828875437546e-06	1.0195694668198e-06	5.27054776606722e-07	3.86582271375605e-07	6.09244746228161e-07	9.10905938160481e-08	5.53430495443574e-07	8.98057716032901e-07	4.35262871029254e-07	0.0183229396238918	0.000344717854562431	5.8607496655642e-06	0	3.71150321263158e-06	1.0232759025554e-06	2.04479904231925e-06	1.70534278454676e-06	2.70599143415543e-07	2.11531564638444e-06	8.94467765617535e-07	8.37892892198267e-07	2.18866982393533e-06	1.62607524761545e-05	5.67545002118951e-06	5.93233392441477e-05	0.000112232753006419	5.66574853810663e-06
QIUM02000083.1	4.35285337402556e-05	0.000193195174779864	0.000401018007136345	4.63781626711798e-05	4.76574223880538e-05	2.774649257836e-05	1.4437755519584e-05	5.2921192075124e-05	4.42323900564358e-05	1.02342582894436e-05	0.000177178237309071	2.38203378881219e-05	0.00158499669110386	0.00018372523212177	5.99650314671911e-05	7.37841575073484e-05	3.96673179612352e-05	6.43330026351658e-05	4.23284491209148e-05	0.00053646543889099	1.08204476927498e-05	0.00190661344891726	2.18556363175758e-05	7.57072039598438e-05	8.01984296697462e-05	9.7300083848297e-05	3.64800773734238e-07	0.000392491560443359	0.000316186857379612	9.33709320611905e-06	1.32834288734073e-05	1.66647164381626e-05	4.07466572531058e-05	5.17214804872933e-05	0.000151989201669231	0.00194901140075096	0.00129538255230635	6.7511027907593e-06	0.00018689203724576	0.000133710033639151	1.4194495497542e-05	4.75178168175591e-05	4.57419080965935e-05	1.61955207367593e-05	1.84986682236668e-05	3.10410932610839e-05	0.0701126614211382	4.72657300310257e-05	1.41886246039376e-05	7.18784128499698e-06	8.26698567809307e-05	1.10360188618579e-05	7.93262688977091e-06	0.000481786299212259	2.63698545832366e-06	0.000457905993640837	3.05344905095551e-05	0.000447699017654816	2.46526463576123e-05	4.2250125896243e-05	3.19137455862752e-05	0.000262592402991309	0.000428244134342478	0.00202766419099559
QIUM02000084.1	3.89501307603999e-05	0.000133401940375865	0.000416782236578657	4.61392518524229e-05	4.55631796031666e-05	2.65929974650445e-05	1.53336351923873e-05	5.03994382487195e-05	3.85574585080884e-05	1.06565454090278e-05	0.000113060826938814	2.11428375926912e-05	0.000999630595845287	0.000165309183635413	4.5235557773861e-05	7.68612691010298e-05	1.76241952347992e-05	5.07106477385676e-05	2.3653503480394e-05	0.00066504458449119	6.15239307704696e-06	0.00167126923484883	1.28748369950649e-05	6.316944887814e-05	9.23606042989461e-05	0.000144147513736294	1.81762865267396e-07	0.000407656629900744	0.000407347219815255	1.42916880959357e-05	2.09842707180774e-05	2.83523250419622e-05	4.89136558769002e-05	3.24957984484557e-05	0.000103375747376066	0.00106856500575622	0.000512610836500124	5.61018561833214e-06	0.000162763195683721	8.0713191449521e-05	2.74788062274507e-05	3.11748358721436e-05	3.48137380375363e-05	2.29916869387093e-05	3.27813405802229e-05	2.59457282825818e-05	0.0623101684883379	3.26604282825188e-05	1.08676625464233e-05	3.91310199503386e-05	6.60367193674434e-05	6.3928154662836e-06	1.29398668575482e-06	0.000361427908143996	3.3475581508639e-06	0.000267053550976269	2.2897102738255e-05	0.0002956541156688	2.60133974037272e-05	2.1167752157468e-05	2.68852922574989e-05	0.000328595342037291	0.000405303401527303	0.00159493963798326
QIUM02000085.1	6.10183735760057e-06	7.04714799196646e-06	2.1051869501572e-05	4.29902170131488e-06	8.63889489763741e-06	7.87575784372002e-06	1.15511215897008e-05	5.51725057920097e-06	3.00964465819851e-06	5.82904959864557e-06	4.41984923403119e-06	4.15016715183335e-06	2.01171407190362e-05	6.446679205889e-05	6.95735887667082e-06	3.93998389711752e-06	9.33007029459997e-06	4.96803431154234e-06	6.23521163162023e-06	8.6199386054843e-06	6.96662927126721e-07	5.82884696785348e-05	5.29203542610013e-06	9.09296500275662e-06	1.89233201842809e-05	2.8086776290492e-05	5.83227684680493e-07	4.62742035355204e-06	3.04248046605745e-05	1.29460849485291e-06	9.9538288674507e-07	8.12161459242666e-06	2.06183970288919e-05	9.06875756701424e-06	1.16123498677299e-06	5.31202627288549e-05	8.8139149521231e-05	3.96109223805342e-06	5.13332126306492e-06	3.6510983442816e-06	4.25881048915184e-06	6.62594816895362e-06	3.40103041306989e-05	1.71549997730183e-05	2.65696607981256e-05	4.76071448319192e-06	0.00696694282395975	9.57137521550003e-07	4.4088595956535e-06	1.16257773394107e-06	3.87124160101555e-05	4.7091845516482e-06	5.11169575317988e-07	2.65547479502918e-06	5.3391647618196e-07	9.39000955680315e-06	3.37631053057602e-06	5.78374495789485e-06	7.20977835646989e-07	2.79451358207658e-06	2.46648208473238e-06	3.54273349638047e-05	3.2129724079774e-05	1.89497011974467e-05
QIUM02000086.1	1.36921015680498e-05	1.63894720219488e-05	7.53771849085076e-05	9.19873158404945e-06	2.04703656510254e-05	6.33488408397381e-06	8.04715616979695e-06	1.59192163287842e-05	1.04385698331495e-05	9.67878158589806e-06	4.97478545878532e-05	8.48439048083813e-06	8.68470912448705e-05	4.04320021840642e-05	2.03667570395015e-05	2.11459961505718e-05	6.4846898866156e-06	1.11246805184728e-05	1.41870860273226e-05	5.34678378798009e-05	8.98990040968169e-06	6.47245082173613e-05	9.96642870296524e-06	3.00776978472865e-05	6.36850228665491e-05	8.40212839270163e-05	0	6.85872234090941e-05	6.47835314630439e-05	3.53333265831536e-06	5.67945514452876e-06	2.5553646646289e-05	1.5687798625331e-05	1.72388970702654e-05	1.55156570605805e-05	2.59460602594967e-05	8.77771176698397e-06	1.35551091503865e-06	2.47530989676193e-05	2.34730562961087e-05	1.98810818190028e-05	1.20252663731335e-05	1.41175012559664e-05	4.13547604081504e-06	5.43441336482673e-06	2.79984890664223e-05	0.0278357679557755	5.12426021923424e-05	2.32229003944298e-06	2.35296537515198e-06	2.37138646391801e-05	1.20422522778848e-05	4.03554285524151e-06	5.61287816934219e-06	1.4976852545059e-06	3.18229513060141e-05	6.88349494772615e-06	4.48869808816801e-05	2.00524831703759e-06	1.21728367736252e-05	1.04446198209198e-05	0.000181059014587319	0.000240788094951208	7.93339660021154e-06
QIUM02000093.1	1.79776945550452e-06	6.15231323247961e-06	1.49747199483314e-06	2.86124873090714e-07	1.03199132428774e-06	8.79613975550946e-08	1.7589260095187e-07	3.33947552265298e-06	1.58149053992218e-06	0	1.76020154908058e-06	1.55082961934917e-07	1.15326154703509e-06	6.22656978830376e-06	2.90637056319422e-07	1.38190928143912e-07	1.75927226835575e-07	3.51863570816118e-07	2.63774349212785e-07	2.87771123231711e-07	7.55841611375196e-08	1.45394387264195e-06	8.67704634582723e-08	5.65874217243846e-06	6.05578302282452e-06	2.25527226208165e-07	0	7.56170717907938e-07	4.44514368473038e-07	3.84536842988042e-07	7.84472268364176e-07	0	1.18791112584552e-05	7.91581951074463e-07	0	2.00073427456092e-06	3.91543754160746e-05	4.20501546619629e-05	3.93333873194362e-07	9.72163919047401e-08	3.51610421302834e-07	4.9673215952541e-08	7.0644511052486e-08	2.43082922441585e-07	1.62472434322e-07	4.39722619562933e-08	0.040419421538468	1.82291476489362e-05	2.47980266360352e-07	0	7.59212081404116e-14	0	5.27444648928372e-07	3.27160710157118e-07	2.04100796360492e-06	3.78566448576005e-06	1.97676487437672e-07	4.40608818082968e-08	5.8665130680898e-08	0	7.05948398135613e-06	4.80518456061206e-05	0.000103444516482852	1.93700343592547e-05
QIUM02000095.1	1.81285359875026e-06	8.82544021164575e-06	1.69052915931488e-06	7.4468558561492e-07	1.48238528017778e-06	6.38886081794975e-07	9.12225568592203e-08	1.43396938517097e-05	1.85405975006216e-06	0	7.87745508682477e-06	4.42159548907326e-07	0	3.06878868204898e-05	1.20436948391227e-06	1.03384867954145e-07	1.11482057981637e-07	3.09589055459034e-07	0	5.0502384343018e-07	5.70936437641277e-07	3.24710283833943e-06	5.98813980837847e-07	5.64797055900402e-06	2.60216497863383e-05	4.3458922314603e-06	0	3.90353218868496e-07	1.07252439981865e-06	7.71929666325298e-07	8.08968487106992e-07	0	2.58108529622304e-05	4.47137238946859e-06	0	2.75511072663034e-06	1.2706982376087e-05	6.74953216674264e-06	1.48176905783862e-06	1.6940920203907e-06	6.9647003752132e-06	2.33792543623249e-07	1.63783272827326e-07	5.66832092391887e-07	1.97217869187148e-07	7.99001907847247e-07	0.0739780388218477	9.59138691835218e-07	4.24794414087927e-07	0	8.43471125219014e-07	1.67844129527768e-06	0	5.46672686620805e-07	1.77988080027844e-06	5.46541937406449e-06	1.36811347412007e-07	1.82505226505067e-07	6.61777902999852e-07	5.47406778044269e-07	1.5435851679525e-05	0.000577539159633615	0.00061332022365852	1.38236029363979e-05
